Generation:	BestFitness	Time:

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:
2	0.01299238	0.01

Generation:	BestFitness	Time:
2	0.01299238	0.01

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:
2	0.01302385	0.01
3	0.01358104	0.7399996
4	0.01425815	1.649999
5	0.01519156	2.759998
6	0.01618028	4.310004
7	0.01724815	5.870039
8	0.02069759	8.140091
9	0.02230978	10.39014
10	0	11.26016
11	0	11.27016
12	0	11.27016
13	0.01891088	11.28016
14	0	11.81017
15	0	11.81017
16	0	11.82018
17	0	11.83018
18	0	11.84018
19	0	11.84018
20	0	11.85018
21	0	11.86018
22	0	11.86018
23	0	11.87018
24	0	11.87018
25	0	11.88018
26	0	11.89018
27	0	11.89018
28	0	11.90018
29	0	11.90018
30	0	11.91018
31	0	11.91018
32	0	11.92018
33	0	11.92018
34	0	11.93018
35	0.01901913	11.94018
36	0.0219624	12.33019
37	0.02203727	12.67019
38	0.02211285	13.0002
39	0.02221036	13.14021
40	0.0223074	13.46021
41	0.02239776	13.74022
42	0.02248859	14.00023
43	0.02272534	14.20023
44	0.02296567	14.48024
45	0.02320766	15.87027
46	0.02344847	16.36028
47	0.02369404	16.88029
48	0.02394557	17.3303
49	0.02444625	17.79031
50	0.02793312	18.34032
51	0.03164983	22.10041
52	0.03475976	22.63042
53	0.04310656	23.43044
54	0.04858255	24.93048
55	0.05532241	25.8405
56	0.06814694	26.72052
57	0.0847578	28.31055
58	0.1102107	29.25057
59	0.1523714	30.12059
60	0.2207422	31.04062

Generation:	BestFitness	Time:
2	0.01302385	0.01
3	0.01358104	0.7399996
4	0.01425815	1.649999
5	0.01519156	2.759998
6	0.01618028	4.310004
7	0.01724815	5.870039
8	0.02069759	8.140091
9	0.02230978	10.39014
10	0	11.26016
11	0	11.27016
12	0	11.27016
13	0.01891088	11.28016
14	0	11.81017
15	0	11.81017
16	0	11.82018
17	0	11.83018
18	0	11.84018
19	0	11.84018
20	0	11.85018
21	0	11.86018
22	0	11.86018
23	0	11.87018
24	0	11.87018
25	0	11.88018
26	0	11.89018
27	0	11.89018
28	0	11.90018
29	0	11.90018
30	0	11.91018
31	0	11.91018
32	0	11.92018
33	0	11.92018
34	0	11.93018
35	0.01901913	11.94018
36	0.0219624	12.33019
37	0.02203727	12.67019
38	0.02211285	13.0002
39	0.02221036	13.14021
40	0.0223074	13.46021
41	0.02239776	13.74022
42	0.02248859	14.00023
43	0.02272534	14.20023
44	0.02296567	14.48024
45	0.02320766	15.87027
46	0.02344847	16.36028
47	0.02369404	16.88029
48	0.02394557	17.3303
49	0.02444625	17.79031
50	0.02793312	18.34032
51	0.03164983	22.10041
52	0.03475976	22.63042
53	0.04310656	23.43044
54	0.04858255	24.93048
55	0.05532241	25.8405
56	0.06814694	26.72052
57	0.0847578	28.31055
58	0.1102107	29.25057
59	0.1523714	30.12059
60	0.2207422	31.04062

Generation:	BestFitness	Time:
2	0.01302385	0.01
3	0.01358104	0.7399996
4	0.01425815	1.649999
5	0.01519156	2.759998
6	0.01618028	4.310004
7	0.01724815	5.870039
8	0.02069759	8.140091
9	0.02230978	10.39014
10	0	11.26016
11	0	11.27016
12	0	11.27016
13	0.01891088	11.28016
14	0	11.81017
15	0	11.81017
16	0	11.82018
17	0	11.83018
18	0	11.84018
19	0	11.84018
20	0	11.85018
21	0	11.86018
22	0	11.86018
23	0	11.87018
24	0	11.87018
25	0	11.88018
26	0	11.89018
27	0	11.89018
28	0	11.90018
29	0	11.90018
30	0	11.91018
31	0	11.91018
32	0	11.92018
33	0	11.92018
34	0	11.93018
35	0.01901913	11.94018
36	0.0219624	12.33019
37	0.02203727	12.67019
38	0.02211285	13.0002
39	0.02221036	13.14021
40	0.0223074	13.46021
41	0.02239776	13.74022
42	0.02248859	14.00023
43	0.02272534	14.20023
44	0.02296567	14.48024
45	0.02320766	15.87027
46	0.02344847	16.36028
47	0.02369404	16.88029
48	0.02394557	17.3303
49	0.02444625	17.79031
50	0.02793312	18.34032
51	0.03164983	22.10041
52	0.03475976	22.63042
53	0.04310656	23.43044
54	0.04858255	24.93048
55	0.05532241	25.8405
56	0.06814694	26.72052
57	0.0847578	28.31055
58	0.1102107	29.25057
59	0.1523714	30.12059
60	0.2207422	31.04062

Generation:	BestFitness	Time:
2	0.01262593	0.01
3	0.01320052	1.499999
4	0.01374388	3.099998
5	0.0142324	4.680012
6	0.01474857	6.32005
7	0.01713037	8.360096
8	0.0204258	10.37014
9	0.02528477	12.48019
10	0.03258491	14.59024
11	0.04588151	17.2803
12	0.07782006	19.47035
13	0.1942947	21.6404

Generation:	BestFitness	Time:
2	0.01344419	0.01
3	0.01443934	1.409999
4	0.015589	2.759998
5	0.01693416	4.13
6	0.01853013	5.560032
7	0.02045226	6.990065
8	0.02302623	8.430098
9	0.03025484	10.76015
10	0.04408717	13.0602
11	0.06624579	15.39026
12	0.09651828	17.1103
13	0.1733468	18.49033

Generation:	BestFitness	Time:
2	0.01327896	0.01
3	0.01459074	1.559999
4	0.0161643	3.389997
5	0.0166049	5.150023
6	0.01695895	6.730059
7	0.01718307	8.250093
8	0.01726174	9.770128
9	0.01718903	11.29016
10	0.01697063	12.8002
11	0.01850462	14.29023
12	0.02027225	15.80027
13	0.02238059	17.1603
14	0.02492142	18.51033
15	0.02801776	19.86036
16	0.0318172	21.20039
17	0.03648257	22.43042
18	0.04334545	23.62045
19	0.05193758	24.94048
20	0.06142068	26.26051
21	0.06842232	27.57054
22	0.09638691	28.89057
23	0.1407478	30.2406
24	0.1979914	31.60063

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:

Generation:	BestFitness	Time:
2	0.01323748	0.01
3	0.01462364	1.109999
4	0.01628494	3.119998
5	0.01835632	4.990019
6	0.02100778	6.850062
7	0.02450752	8.720104
8	0.02929783	10.61015
9	0.03614426	12.51019
10	0.04022551	14.23023
11	0	19.07034
12	0.07307124	19.07034
13	0.1955836	21.26039

Generation:	BestFitness	Time:
2	0	0.01
3	0.009230852	0.01
4	0	1.269999
5	0.0115335	1.269999
6	0.01235628	3.419997
7	0.01348686	5.00002
8	0.01478028	7.070067
9	0.0162406	9.110113
10	0	11.16016
11	0.01644993	11.16016
12	0.01665974	12.14018
13	0.016855	13.0102
14	0.01726127	13.87022
15	0.01762486	14.98025
16	0.01855636	16.09027
17	0.019557	17.1003
18	0.02066422	18.06032
19	0.02214456	19.03034
20	0.02376914	20.25037
21	0.02531362	21.4704
22	0.02701735	22.43042
23	0.02891088	23.40044
24	0.03101039	24.34046
25	0.03332591	25.32048
26	0.03585458	26.27051
27	0.03882909	27.23053
28	0.04199553	28.22055
29	0.03927445	29.23057
30	0.05105591	30.2306
31	0.05675769	31.43062
32	0.07434869	32.63053
33	0.1008153	34.08029
34	0.1335921	35.43006
35	0.1992085	36.78983

Generation:	BestFitness	Time:
2	0.0127821	0.01
3	0.01371026	1.229999
4	0.0154736	3.239997
5	0.01671457	5.320027
6	0.01945329	7.280072
7	0.02307296	9.320118
8	0.02460551	11.28016
9	0.03367424	13.24021
10	0.03568602	14.82024
11	0.05224419	24.82047
12	0.05813622	31.11062
13	0.08592939	41.10911
14	0.07200789	47.57802
15	0.06330395	57.57634
16	0.04915404	58.89612
17	0.03922081	62.06559
18	0.02800727	63.7653
19	0.02935028	65.36555
20	0.02633405	69.86652
21	0.02351689	71.61689
22	0.02240777	73.27724
23	0.0219667	74.70755
24	0.01979685	75.94781
25	0.01924181	77.46814
26	0.01615787	78.7084
27	0.01809287	88.71054
28	0.0193224	90.12084
29	0.01831722	91.95123
30	0.01738667	93.2215
31	0.01823235	94.42176
32	0.01873207	96.42219
33	0.01883483	98.39261
34	0	100.343
35	0	100.353
36	0	100.353
37	0	100.353
38	0	100.353
39	0	100.363
40	0	100.363
41	0	100.363
42	0	100.363
43	0	100.373
44	0	100.373
45	0	100.373
46	0.01898122	100.373
47	0.01909661	100.9131
48	0.01920962	101.3732
49	0.01932383	101.8433
50	0.01987624	102.3034
51	0.02045584	103.1236
52	0.02106309	103.9138
53	0.02271008	104.694
54	0.02342391	105.8742
55	0.02327108	106.6644
56	0.0243783	107.6646
57	0.02511692	108.5448
58	0.02751303	109.3449
59	0.03006983	110.6952
60	0.03368998	112.0355
61	0.04290175	113.7959
62	0.05088997	115.4663
63	0.06051278	125.4684
64	0.1188307	127.7789
65	0.4316895	129.4781

Generation:	BestFitness	Time:
2	0	0.01
3	0.01198602	0.01
4	0.01238275	0.9699994
5	0.0128057	1.879999
6	0.01325798	2.789998
7	0.01374245	3.689997
8	0.01426268	4.59001
9	0.01482248	5.490031
10	0.01552033	6.390051
11	0.01627254	7.470076
12	0.01887751	8.5301
13	0.02246165	10.51015
14	0.02771878	12.46019
15	0.03538632	14.61024
16	0.0509429	16.79029
17	0.06244683	19.08034
18	0.08012056	20.19037
19	0.2398391	21.24039

Generation:	BestFitness	Time:
2	0.01248693	0.01
3	0.01284766	1.209999
4	0.01338863	2.379998
5	0.01396418	3.379997
6	0.01458621	4.380005
7	0.01578498	5.360028
8	0.01713777	6.940064
9	0.01918268	8.480099
10	0.02022171	10.37014
11	0.02262378	11.38017
12	0.02603436	12.9802
13	0	14.89025
14	0	14.89025
15	0.02691269	14.89025
16	0.02801466	15.61026
17	0.02918601	16.43028
18	0.03066039	17.2203
19	0.03722334	18.03032
20	0.04402351	20.03036
21	0.04741287	20.89038
22	0.05109549	21.7004
23	0.05504346	22.52042
24	0.05914187	23.34044
25	0.06299496	24.16046
26	0.09791851	24.84047
27	0.1672325	27.02052

