Generation:	BestFitness	Time:
2	0.01640209	0.01
3	0.01922097	2.829998
4	0.02376202	5.180024
5	0.02968851	8.290094
6	0.03793819	11.08016
7	0.04750602	13.42021
8	0.05475876	15.37026
9	0.04266125	17.51031
10	0.0423758	19.16034
11	0.03753514	21.31039
12	0.02762288	23.23044
13	0.02461023	25.37049
14	0.02197491	27.01052
15	0.01973146	28.57056
16	0.02027057	30.1906
17	0.02132874	31.90063
18	0.02240797	33.12045
19	0.02462143	34.05029
20	0.02728825	34.90015
21	0.03060472	35.76001
22	0.03483723	36.87982
23	0.04230149	37.80966
24	0.06513461	39.00946
25	0.09289984	40.95913
26	0.1688688	42.81882

Generation:	BestFitness	Time:
2	0.01248066	0.01
3	0	0.9699994
4	0.01241748	0.9699994
5	0.01236289	1.579999
6	0.009466319	2.189998
7	0	2.799998
8	0	2.799998
9	0	2.809998
10	0	2.809998
11	0	2.809998
12	0	2.819998
13	0.009449339	2.819998
14	0.009483185	2.919998
15	0.01234834	3.439997
16	0.01236944	3.859997
17	0.01239086	4.270003
18	0.01254552	4.60001
19	0.01270127	5.290026
20	0.01272081	5.980042
21	0.012743	6.33005
22	0.01270714	6.700058
23	0.01269681	6.880063
24	0.01268636	7.060067
25	0.01267605	7.250071
26	0.01266569	7.420075
27	0.01305358	7.600079
28	0.01356984	8.5501
29	0.01412293	9.550123
30	0.01471619	10.55015
31	0.01678494	11.47017
32	0.01758049	13.56021
33	0.01843342	14.40023
34	0.01934853	15.34026
35	0.02032703	16.26028
36	0.02136803	17.1903
37	0.02248207	18.14032
38	0.02364922	19.12034
39	0.02485407	20.08036
40	0.02905332	21.02039
41	0.02935416	22.86043
42	0.02935915	23.96045
43	0.03112851	24.11046
44	0.03114059	25.07048
45	0.03068581	25.32048
46	0.03200036	26.40051
47	0.03310785	27.21053
48	0.0313236	27.94054
49	0.02897211	28.87057
50	0.02737203	29.63058
51	0.02568681	30.4906
52	0.02486001	31.33062
53	0.02772363	31.85063
54	0.02882106	33.07046
55	0.02718387	34.06029
56	0.0253831	35.73001
57	0.02384862	36.3899
58	0.02248368	37.07978
59	0.02149603	37.71968
60	0.02410256	38.31958
61	0.02727073	39.33941
62	0	40.31924
63	0.03321265	40.32924
64	0.03075693	42.14893
65	0.02872824	42.85881
66	0.02694652	43.49871
67	0.02537015	44.1286
68	0.0239718	44.59852
69	0.02276916	45.21842
70	0.02160848	46.18826
71	0.02058313	46.82815
72	0	47.41805
73	0.02082177	47.42805
74	0.02123163	48.3179
75	0.02149737	49.28773
76	0.02187681	50.20758
77	0.02215524	51.18742
78	0.02258231	52.20724
79	0.02287488	53.12709
80	0.02333164	54.15692
81	0.02362886	55.13675
82	0.02412329	56.18658
83	0.02449017	57.28639
84	0.02489257	57.96628
85	0.02529881	58.55618
86	0.02571495	59.09609
87	0.02614196	59.57601
88	0.02657817	60.07592
89	0.02702889	60.54585
90	0.02754611	61.21573
91	0.02804622	61.73565
92	0.02851604	62.16557
93	0.0317319	62.82546
94	0.03567592	63.67532
95	0.04073668	64.49537
96	0.04180183	65.31554
97	0.04857236	65.77564
98	0.05760602	66.69584
99	0.07222701	67.55602
100	0.09936769	68.44621
101	0.1588929	69.41642

